Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Poughkeepsie - NY,-0.003423974883511316,-0.007783282424275062,-0.00785394381489124,0.006353733707559206,-0.006353733707559206,Supply
Providence - RI,-0.00025859655389592895,-0.002976782642855058,-0.0012926055979964879,0.001509328264915825,-0.001509328264915825,Supply
Provo - UT,0.0028285950455113618,-0.0028158582367185936,-0.032323112694114364,0.012655855325448107,-0.0107701252951072,Supply
Raleigh - NC,-0.004542592440965887,-0.004569397794744745,-0.00523679824657397,0.0047829294940948675,-0.0047829294940948675,Supply
Reading - PA,-0.02724883191758576,-0.020093836836644785,-0.02018327427515665,0.022508647676462396,-0.022508647676462396,Supply
Reno - NV,0.006373499882761813,0.005851351462543564,0.011542737645477752,0.007922529663594377,0.007922529663594377,Supply
Richmond - VA,0.0022889187881021122,0.0013589112282477167,0.0028547249747641334,0.002167518330371321,0.002167518330371321,Supply
Rochester - NY,-0.0006052435854924099,0.0022234217390375566,0.0008233231860468315,0.0012173295035255993,0.0008138337798639927,Supply
Sacramento - CA,-0.002404309986463904,-0.0038757669473110656,-0.004959903127774279,0.003746660020516416,-0.003746660020516416,Supply
Saint Louis - MO,-0.00233930486564482,-0.00216649947800307,-0.0016676633734258317,0.002057822572357907,-0.002057822572357907,Supply
Salem - OR,-0.0021784585663893186,-0.005862555267069247,-0.011180518017480323,0.0064071772836462966,-0.0064071772836462966,Supply
Salinas - CA,-5.0210885719992326e-05,-5.0210885719992326e-05,-0.0021455456290816466,0.0007486558001738771,-0.0007486558001738771,Supply
Salisbury - MD,-8.47314014573719e-05,-8.47314014573719e-05,-0.00016946280291485483,0.00011297520194319954,-0.00011297520194319954,Supply
Salt Lake City - UT,0.0021506698661031276,-0.00023451144253994194,-0.0011095370482137046,0.001164906118952258,0.00026887379178316034,Supply
San Antonio - TX,-0.006992531194020435,-0.005947356263325654,-0.012122773658520103,0.008354220371955398,-0.008354220371955398,Supply
San Diego - CA,-0.003910148968285565,-0.006093345877512979,-0.008852650017366903,0.006285381621055149,-0.006285381621055149,Supply
San Francisco - CA,0.0009221126464233897,0.0022618243486829392,0.0037429506440023186,0.0023089625463695493,0.0023089625463695493,Supply
San Jose - CA,0.003342516069788859,0.006409929915779489,0.00837503551724883,0.006042493834272393,0.006042493834272393,Supply
Santa Barbara - CA,-0.0016909772846080973,-0.001738684932143908,-0.0017863925796797187,0.001738684932143908,-0.001738684932143908,Supply
