Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Nashville - TN,107093,108987,110913,112727,114374,116846,118910,120960,122825,124006,125439,126992,128354,128600,129919,131017,132551,134556,137342,138443,139566,141019,142259,144411,146826,148971,151759,153220,156937,161158,164076,165781,169116,173819,176870,178474,180547,183428,186312,186971,188539
New Haven - CT,33553,33616,34010,34010,34010,34045,34438,34438,34438,34717,34717,34729,34761,35339,35339,35547,35570,35887,35937,35979,36048,36464,36464,36575,37263,37354,37414,37688,37782,37932,38048,38392,38866,39271,39851,40241,40554,40659,40870,40939,41247
New Orleans - LA,59525,59525,59536,59596,59720,59747,59747,59747,59705,59453,59805,59890,59890,59896,59922,60450,61151,61367,61361,61633,61582,61697,61773,61773,61947,62376,62412,62420,62503,62519,62519,62519,62519,62644,62694,62964,63080,63190,63565,63889,63889
New York - NY,1269407,1272335,1278320,1282097,1293164,1296813,1304265,1308490,1312448,1316287,1323901,1329609,1335257,1340557,1344178,1349720,1354555,1358700,1362550,1365689,1368362,1374738,1379403,1385691,1392387,1400326,1406897,1410840,1415526,1424004,1429762,1434421,1439195,1445060,1455539,1460966,1468954,1477308,1489118,1493791,1499948
Norfolk - VA,107167,107563,109053,109906,110432,110432,110676,111224,111535,112008,112788,113280,113546,113837,114438,115373,115477,116417,117466,117642,117957,118700,118907,119132,119713,120303,120610,121013,121305,121911,122166,122271,123206,124190,125023,125707,125707,125775,125905,126898,127030
Northern New Jersey - NJ,120459,120792,121563,122245,122400,123991,125716,125882,126595,128020,128393,128680,129238,129932,131554,132187,133152,133349,133873,135073,135692,135979,136722,137599,138795,139150,139642,140752,141520,144208,145616,146760,148210,149758,152267,152595,153727,155221,156789,158452,160300
Northwest Arkansas - AR,28327,28327,28327,29175,29715,30143,30910,30937,30989,31094,31262,32109,32380,34114,34186,34272,34600,34939,35318,35725,36101,37053,38217,38500,39058,39090,39841,40302,40665,40956,41523,41885,42398,43073,43601,44418,45063,45563,46923,47570,47772
Ocala - FL,7067,7067,7085,7085,7085,7085,7085,7085,7085,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7389,7395,7395,7385,7745,7745,7745,7745,8429,8440,9367,9367,9476,9716,9818,9818,11246,11738,11738,12192,12192
Ogden - UT,14736,14792,14792,15385,15612,15660,15743,15959,16038,16319,16535,16791,16832,17066,17078,17430,17541,18082,18429,18495,19096,19669,19910,20115,20761,21233,21679,22330,22947,23675,24396,25271,25432,25902,26036,26036,26582,26783,27253,27253,27826
Oklahoma City - OK,87997,88605,89190,89236,89365,90112,90272,90350,90686,90705,91015,91357,91894,91849,92135,92172,92199,92199,92273,92643,92799,93430,93977,94368,94657,94894,94906,95512,96227,95929,96526,96760,97431,98453,99200,99736,99990,100707,101229,101678,102136
Omaha - NE,63588,63990,64828,65091,65084,66095,67096,67465,67888,69041,69041,69329,69435,70001,70407,71472,71876,73063,73466,73914,74181,74754,74754,75474,75663,76618,77373,77563,78630,79199,80072,80548,80685,81502,81930,82223,82972,84619,86001,86745,86983
Orange County - CA,231058,231611,232383,232397,234789,236395,237108,237116,239119,240039,240569,241159,241738,242564,243697,246246,247071,247089,247025,247690,248929,249308,249685,250580,251358,251761,252007,252321,253246,253800,254791,254791,255260,255498,257649,257649,257970,258441,259020,259450,260326
Orlando - FL,149221,150635,151609,153067,154168,156484,158799,159922,161905,163707,165770,167954,168660,171187,173117,175584,176793,178209,181317,183524,184975,187404,190230,192437,193953,194990,198457,201236,204164,207428,210686,214691,218937,221587,226469,227392,230732,233935,237297,238983,240945
